statisticalID,name,partOf,code,physicalType
MX12014,Benito Juárez,Location/MX12,ADMIN_STRUCTURE,Jurisdiction
MX23005,Benito Juárez,Location/MX23,ADMIN_STRUCTURE,Jurisdiction
MX26071,Benito Juárez,Location/MX26,ADMIN_STRUCTURE,Jurisdiction
MX29045,Benito Juárez,Location/MX29,ADMIN_STRUCTURE,Jurisdiction
MX30027,Benito Juárez,Location/MX30,ADMIN_STRUCTURE,Jurisdiction
MX32004,Benito Juárez,Location/MX32,ADMIN_STRUCTURE,Jurisdiction
MX26016,Benjamín Hill,Location/MX26,ADMIN_STRUCTURE,Jurisdiction
MX07012,Berriozábal,Location/MX07,ADMIN_STRUCTURE,Jurisdiction
MX30028,Boca del Río,Location/MX30,ADMIN_STRUCTURE,Jurisdiction
MX07013,Bochil,Location/MX07,ADMIN_STRUCTURE,Jurisdiction
MX08009,Bocoyna,Location/MX08,ADMIN_STRUCTURE,Jurisdiction
MX31005,Bokobá,Location/MX31,ADMIN_STRUCTURE,Jurisdiction
MX14019,Bolaños,Location/MX14,ADMIN_STRUCTURE,Jurisdiction
MX16011,Briseñas,Location/MX16,ADMIN_STRUCTURE,Jurisdiction
MX31006,Buctzotz,Location/MX31,ADMIN_STRUCTURE,Jurisdiction
MX08010,Buenaventura,Location/MX08,ADMIN_STRUCTURE,Jurisdiction
MX16012,Buenavista,Location/MX16,ADMIN_STRUCTURE,Jurisdiction
MX12015,Buenavista de Cuéllar,Location/MX12,ADMIN_STRUCTURE,Jurisdiction
MX28005,Burgos,Location/MX28,ADMIN_STRUCTURE,Jurisdiction
MX19008,Bustamante,Location/MX19,ADMIN_STRUCTURE,Jurisdiction
MX28006,Bustamante,Location/MX28,ADMIN_STRUCTURE,Jurisdiction
MX14020,Cabo Corrientes,Location/MX14,ADMIN_STRUCTURE,Jurisdiction
MX26017,Caborca,Location/MX26,ADMIN_STRUCTURE,Jurisdiction
MX07015,Cacahoatán,Location/MX07,ADMIN_STRUCTURE,Jurisdiction
MX31007,Cacalchén,Location/MX31,ADMIN_STRUCTURE,Jurisdiction
MX22004,Cadereyta de Montes,Location/MX22,ADMIN_STRUCTURE,Jurisdiction
MX19009,Cadereyta Jiménez,Location/MX19,ADMIN_STRUCTURE,Jurisdiction
MX26018,Cajeme,Location/MX26,ADMIN_STRUCTURE,Jurisdiction
